n,p,v,corpus
此れ,を,録画する,ted
暗闇,に,順応する,ted
場所,に,移される,ted
追っ手,から,逃れる,ted
中,を,生き延びる,ted
最後,に,捕えられる,ted
軍,に,捕えられる,ted
象,で,する,ted
研究,を,する,ted
帝国主義,に,述べるだけ,ted
不平,を,述べるだけ,ted
そこ,に,現れる,ted
我々,が,考える,ted
声,を,通す,ted
一方,で,貰う,ted
見方,を,変える,ted
寄付金,を,管理する,ted
会社,に,回す,ted
慈善事業,に,回す,ted
物,と,なるです,ted
ナチス,が,侵攻する,ted
オランダ,に,侵攻する,ted
着席,を,する,ted
学校,に,連れる,ted
世界,を,変えられる,ted
国々,に,ある,ted
情熱,を,持つ,ted
人,に,なれる,ted
後,で,怒る,ted
父,が,怒る,ted
経緯,を,お話しする,ted
主脈,を,掴む,ted
女性,が,いる,ted
状況,に,いる,ted
物,を,放出する,ted
達,を,信じる,ted
カレー,に,行く,ted
用品店,に,入店,ted
車,で,通う,ted
施設,に,通う,ted
大統領,から,学ぶ,ted
水際,に,植える,ted
水,を,ろ過する,ted
木材,が,入る,ted
手,に,入る,ted
頃,に,提供する,ted
資材,を,提供する,ted
階層,に,属する,ted
DNA,が,繋ぐ,ted
時間,を,測る,ted
秒,を,する,ted
基準,と,する,ted
法,が,なる,ted
共通,と,なる,ted
機能,に,基づく,ted
現場,が,ある,ted
クラウド,に,送信される,ted
処理,を,する,ted
介護士,に,送信する,ted
医師,に,送信する,ted
患者,に,返信する,ted
棒,で,出来る,ted
責任,が,ある,ted
責任,が,ある,ted
体,と,なる,ted
ネットワーク,を,作る,ted
クラブ,で,行く,ted
上,を,歩く,ted
男性,に,見える,ted
時,に,知らされる,ted
NASA,から,知らされる,ted
上空,に,見付かる,ted
オゾンホール,が,見付かる,ted
私達,が,歩く,ted
下,を,歩く,ted
年,に,発見される,ted
此れ,で,考える,ted
感情,を,表現する,ted
タイミング,で,動くか,ted
物,が,動くか,ted
様,を,つける繰り返し,ted
さん,が,住む,ted
村,に,住む,ted
植物,に,由来する,ted
目,に,見える,ted
此れ,を,見る,ted
目,を,輝かせる,ted
大学,に,進学したい,ted
戦場,から,帰還する,ted
プライバシー,を,コントロールできない,ted
所,から,届く,ted
消費,で,何万カロリー,ted
言語障害,を,抱える,ted
仕事,を,する,ted
上,で,関連付ける,ted
方法,を,思い付く,ted
人々,を,補助する,ted
原動力,と,なる,ted
裏,に,ある,ted
希望,に,溢れる,ted
可能性,が,潜む,ted
我々,が,発見する,ted
船,が,出す,ted
音波,を,出す,ted
其れ,が,反射する,ted
音波,を,受信する,ted
船,が,受信する,ted
日,に,怒らせる,ted
彼女,を,怒らせる,ted
此方,に,近付く,ted
仰向け,に,なる,ted
音,を,出す,ted
日頃,から,表現する,ted
演説,で,表現する,ted
人々,が,所属したい,ted
世界,を,作る,ted
背景,に,持つ,ted
ブーンルア,が,なる,ted
鬱,に,なる,ted
友達,を,与える,ted
戦争,を,生き抜く,ted
左,から,示す,ted
訓練,を,要しない肉体労働,ted
職,を,示す,ted
素粒子,が,異なる,ted
法則,に,従う,ted
考え,に,慣れる,ted
肉眼,で,出来る,ted
確認,が,出来る,ted
場所,に,存在する,ted
同時,に,存在する,ted
こと,が,作る,ted
物体,を,作る,ted
区別,を,させる,ted
考察,を,紹介する,ted
私達,が,受ける,ted
恩恵,を,受ける,ted
台所,から,閉じ込められる,ted
寝室,に,閉じ込められる,ted
向こう,で,踠く,ted
世界,を,持つ,ted
境界,を,設定する,ted
私達,が,サポートし合う様,ted
互い,に,サポートし合う様,ted
過程,を,定着させる,ted
理解,で,結ぶ,ted
関係,を,結ぶ,ted
人,を,集める,ted
インセンティブ,を,与える,ted
事業,を,組織する,ted
方法,で,開拓出来る,ted
可能性,を,開拓出来る,ted
私,が,する,ted
目標,に,する,ted
ロボット,を,咎める,ted
本当,に,追い詰める,ted
ロボット,を,追い詰める,ted
次,に,する,ted
此れ,を,する,ted
状態,に,する,ted
認知症,に,なる,ted
キューバ,を,評価する,ted
教訓,を,学ぶ,ted
携帯端末,が,なる,ted
役,と,なる,ted
情報,を,発信する,ted
活動,を,導く,ted
コネリー,が,台頭する,ted
テクノロジー,を,紹介する,ted
話,に,つく,ted
固まり,で,出来る,ted
ガイガー,が,処方する,ted
患者,に,処方する,ted
食品,を,処方する,ted
法律,を,守る,ted
世界中,で,届けられない,ted
ワクチン,を,届けられない,ted
こと,が,なる,ted
問題,に,なる,ted
世界中,で,届けられない,ted
ワクチン,を,届けられない,ted
こと,が,なる,ted
問題,に,なる,ted
冷却,を,維持できない,ted
チェーン,が,壊れる,ted
大岩,を,持ち上げる,ted
対立,を,解消する,ted
ピン,を,使う,ted
手,を,表す,ted
遠く,に,ある,ted
物体,に,触れる,ted
実際,に,触れる,ted
こと,が,なる,ted
達,と,止める,ted
一緒,に,止める,ted
政府,を,止める,ted
運動,を,始める,ted
物,に,近付く,ted
コスタリカ,に,ある,ted
センター,に,携わる,ted
表面,を,横切るか,ted
体,が,横切るか,ted
グラデーション,と,-,ted
質感,を,-,ted
車,を,入れたい,ted
手,に,入れたい,ted
ミニ,で,遣る,ted
国,に,遣る,ted
ルワンダ,を,再建する,ted
達,が,する,ted
手,に,する,ted
海岸,を,歩く,ted
潮溜まり,を,見付ける,ted
環境,に,齎す,ted
変革,を,齎す,ted
話,を,語る,ted
脳,を,調べる,ted
言語,を,表現する,ted
領域,で,見られる,ted
定数,に,見られる,ted
変化,が,見られる,ted
初め,に,抜け出す,ted
此れ,が,見付かる,ted
褒美,と,いえる,ted
此処,に,ある,ted
水,が,ある,ted
1,に,育む,ted
方,を,変える,ted
民主主義,を,育む,ted
診療所,を,訪れる,ted
治療室,を,訪れる,ted
ライン,で,働く,ted
一部,と,なれる,ted
私達,が,出来る,ted
うち,で,ある,ted
シカゴ,で,する,ted
目,に,する,ted
声帯,が,傷つかない,ted
こと,を,願う,ted
喉,に,通される,ted
管,が,傷付ける,ted
声帯,を,傷付ける,ted
可能性,が,ある,ted
こと,を,間違う,ted
基準,で,判断する,ted
進歩,を,起こす,ted
理,に,叶う,ted
中,を,巡る,ted
日本,で,愛される,ted
命,を,救う,ted
目,を,覆いたい,ted
砂埃,が,舞う,ted
ベンチ,に,座る,ted
試し,に,座る,ted
手摺,が,なる,ted
景色,を,遮る,ted
台無し,に,なる,ted
達,が,向ける,ted
内面,に,向ける,ted
目,を,向ける,ted
場所,に,居ず,ted
経験,を,お話す,ted
こと,を,する,ted
電力,を,作る,ted
夜,を,照らす,ted
博士,が,指摘する,ted
電灯,を,動かす,ted
人,が,送信する,ted
音,を,聞く,ted
社会,に,吹き込む,ted
思い遣り,を,吹き込む,ted
ステージ,で,する,ted
スピーチ,を,する,ted
こと,を,感じられる,ted
期間,が,終わる,ted
参加,を,希望する,ted
動物,を,分担する,ted
絆,が,深まる,ted
下,に,生け贄,ted
皆,に,振る舞われる,ted
役,に,立つ,ted
ダイヤ,で,覆われる,ted
下,に,いる,ted
母船,が,着陸する,ted
po,が,出る,ted
星,に,住めるか,ted
工業化,が,なる,ted
トラウマ,と,なる,ted
風潮,が,蔓延る,ted
自身,で,するか,ted
何,を,するか,ted
努力,を,要する,ted
私,が,知る,ted
貴方,を,知る,ted
そこ,で,壊される,ted
橋,を,する,ted
目,に,する,ted
物,が,壊される,ted
仕方,が,ある,ted
コンピューター,を,作成する,ted
事,に,気づかされる,ted
こと,で,押さえる,ted
欲求,を,押さえる,ted
救援,に,駆け付ける,ted
此処,に,ある,ted
会社,を,救う,ted
利益,を,上げる,ted
ボーイ,が,作る,ted
容器,を,作る,ted
等,を,詰め込み乾燥させる,ted
スコップ,で,詰め込み乾燥させる,ted
袋,に,詰め込み乾燥させる,ted
リズム,を,感じる,ted
ツール,を,使う,ted
痛み,を,感じる,ted
振り,を,する,ted
者,を,公表する,ted
逆境,に,打ち勝つ,ted
情報,を,たより,ted
地形,を,移動する,ted
其方,から,聞こえる,ted
記録,を,持つ,ted
制度,を,入れたい,ted
手,に,入れたい,ted
文字,が,欠ける,ted
文字,が,欠ける,ted
病気,を,運命,ted
速度,から,放たれるか,ted
状況下,で,放たれるか,ted
シュート,が,放たれるか,ted
モデル,を,構築出来る,ted
疑い,を,持つ,ted
人々,を,纏め,ted
好奇心,を,持つ,ted
こと,を,促す,ted
水位,が,下がる,ted
階段,が,出る,ted
物質,を,抗体染色する,ted
ブレント,が,遭遇する,ted
YouTube,で,遭遇する,ted
入り口,に,遭遇する,ted
ビデオ,を,見付ける,ted
上,で,教える,ted
マジック,を,教える,ted
赤色,で,表示される,ted
達,が,いる,ted
こと,に,経つ,ted
恋,を,する,ted
渦中,に,いる,ted
自分,が,重なる,ted
自分,が,戻る,ted
頭,に,ある,ted
当時,に,戻る,ted
プロデューサー,が,来る,ted
所,に,来る,ted
後半,に,始まる,ted
政府,が,入らない,ted
メディア,を,入らない,ted
気,に,入らない,ted
主,を,脅す,ted
プロセス,を,任せる,ted
自己管理,に,任せる,ted
全て,を,失う,ted
釘,が,付く,ted
亡骸,と,なる,ted
隣,に,いる,ted
壁蝨,が,いる,ted
左,に,いる,ted
右,に,いる,ted
幼虫,が,いる,ted
エマ,が,歌う,ted
人生,を,変える,ted
こと,を,歌う,ted
つ,に,過ぎる,ted
私達,が,浸透させる,ted
本当,に,浸透させる,ted
其れ,を,浸透させる,ted
私達,を,変える,ted
こと,で,生む,ted
牛,が,生む,ted
ガー,を,生む,ted
此処,に,入る,ted
エンジン,を,使い現れる,ted
熱意,に,溢れる,ted
此れ,を,分ける,ted
ステップ,に,分ける,ted
働き,から,見出だす,ted
原則,を,見出だす,ted
さん,に,ご紹介する,ted
さん,に,ご紹介する,ted
講演,を,なる,ted
御覧,に,なる,ted
此れ,を,走らせる,ted
過程,で,見つかるか,ted
何,が,見つかるか,ted
其れ,で,する,ted
損,を,する,ted
問題,が,ある,ted
働き,が,ある,ted
エネルギー,で,なる,ted
倍,と,なる,ted
地図,に,する,ted
土,が,痩せる,ted
次,に,散布される,ted
物質,が,散布される,ted
果物,に,散布される,ted
話,を,聞く,ted
言葉,を,使う,ted
過程,で,思う,ted
此処,から,移行する,ted
問い掛け,に,移行する,ted
鳥,が,飛ぶ,ted
度,に,思う,ted
裏,に,ある,ted
形跡,が,ある,ted
紛争,で,なる,ted
以上,が,なる,ted
犠牲,に,なる,ted
物,を,見る,ted
次,に,お見せしたい,ted
人生,を,変える,ted
美術館,で,行う,ted
ワールドカップ,を,重ね合わせる,ted
午後,に,予定される,ted
言葉,で,言う,ted
物,が,ある,ted
中,に,ばらまき兼ねる,ted
中,に,ばらまき兼ねる,ted
偏見,を,ばらまき兼ねる,ted
此れ,が,ある,ted
者,が,生き残る,ted
競争相手,を,打ち負かす,ted
代償,を,払う,ted
こと,に,ある,ted
原子力,に,上げる,ted
両手,を,上げる,ted
目,に,見える,ted
大きさ,で,住む,ted
海溝,に,住む,ted
予見,から,経つ,ted
コンピューター,が,協力する,ted
数々,に,取り組む,ted
成果,を,期待出来る,ted
気分,に,なる,ted
グループ,に,上げる,ted
可能性,を,生活する,ted
最大限,に,利用する,ted
仕事,を,寄せ集める,ted
皆,で,経験したい,ted
事業,を,成功させる,ted
情報,を,得る,ted
伝達,に,置く,ted
重点,を,置く,ted
リベリア共和国,に,いる,ted
受賞者,が,いる,ted
さん,が,行う,ted
エボラ,に,打ち勝つ為,ted
事,を,行う,ted
事,で,存在する,ted
人々,が,存在する,ted
空中,を,歩く,ted
山,から,舞い下りる,ted
夏,に,募る,ted
中,から,募る,ted
若者,を,募る,ted
運転,を,試す,ted
ルール,に,変える,ted
利益,を,得る,ted
こと,で,増やす,ted
利用者,を,増やす,ted
インセンティブ,を,持つ,ted
価値,に,ある,ted
関係,が,ある,ted
場,に,立つ,ted
さん,に,話す,ted
世間,で,語られる,ted
変革,を,促す,ted
入り口,で,言う,ted
彼,に,向かう,ted
勢い,が,ある,ted
こと,が,起こる,ted
シャツ,を,脱ぐ,ted
存在,を,信じたい,ted
仕組み,が,ある,ted
PDF,を,公開する,ted
PDF,を,公開する,ted
其れ,に,アクセスする,ted
時間,を,かける,ted
節約,が,なる,ted
デザイン,と,なる,ted
こと,を,発見する,ted
製造業,から,及ぶ,ted
精製,に,及ぶ,ted
業種,に,当て嵌まる,ted
%,を,取り除く,ted
後,に,残る,ted
150000,に,なる,ted
世代,を,考える,ted
方,を,改革する,ted
結果,が,出る,ted
サーフィン,を,する,ted
歌,を,ダウンロードする,ted
電話,が,掛かる,ted
riaa,に,訴えられる,ted
riaa,に,される,ted
食い物,に,される,ted
度,と,するな,ted
私,が,する,ted
中,に,する,ted
耳,に,する,ted
台,で,聞く,ted
世界,を,変革する,ted
人,を,助ける,ted
真実,に,傾けむけるべきか,ted
耳,を,傾けむけるべきか,ted
次,に,ある,ted
確執,が,ある,ted
狩猟,を,する,ted
同時,に,映る,ted
鏡,に,映る,ted
事故,で,負わない,ted
障害,を,負わない,ted
医者,に,なる,ted
父親,に,なる,ted
次,に,流す,ted
音,を,流す,ted
映像,を,記録する,ted
インフラ,を,破壊する,ted
必要,が,ある,ted
ピクセル,に,記録される,ted
変化,を,拡大する,ted
コペンハーゲン,に,来する,ted
代わり,に,見られるです,ted
品,が,見られるです,ted
私達,が,すべし,ted
問題,を,解決できるでしょうか,ted
法,を,犯す,ted
人,が,監禁拘束される,ted
下痢,を,する,ted
試験,に,参加できるまで,ted
物質,が,効かない,ted
状態,が,続く,ted
名前,で,する,ted
バービー,と,言う,ted
女の子,と,言う,ted
シリーズ,で,引かれる,ted
私,が,引かれる,ted
興味,を,引かれる,ted
男の子,を,見る,ted
コンピューター,に,限る,ted
毎,に,なる,ted
倍,に,なる,ted
時間,が,掛かる,ted
母,と,笑う,ted
一緒,に,笑う,ted
物,を,思い付く,ted
子供,に,持つ,ted
関心,を,持つ,ted
両親,に,育てられる,ted
エンロン,が,破産する,ted
達,が,提出する,ted
共同,で,提出する,ted
請願書,を,提出する,ted
行動,を,起こす,ted
こと,を,求める,ted
危機的状況,を,示す,ted
数字,で,示す,ted
共,に,守る,ted
心,を,守る,ted
昔,から,ある,ted
砂糖,を,入れる,ted
日本人,が,飲む,ted
無糖,で,飲む,ted
砂糖,を,入れる,ted
飛行機,で,飛行する,ted
浜辺,を,飛行する,ted
音,が,入る,ted
こと,で,同期する,ted
音,を,処理する,ted
証拠,が,物語る,ted
アンケート,を,取る,ted
生徒,が,理解する,ted
生徒,が,理解する,ted
此れ,を,問い続けない,ted
役割,を,探す,ted
遣り方,で,貢献する,ted
社会,に,貢献する,ted
未来,を,作る,ted
何,が,起こる,ted
何,が,起こる,ted
老廃物,を,排出しない,ted
言い回し,が,なる,ted
気,に,なる,ted
ボイル,に,言わせる,ted
此処,に,見える,ted
マップ,を,作成する,ted
御腹,に,書く,ted
絵の具,で,書く,ted
私,が,始める,ted
前,に,始める,ted
呼吸,を,せず,ted
気,に,せず,ted
夕食,で,食べようか,ted
何,を,食べようか,ted
そこ,で,答える,ted
サングラス,を,生える,ted
あご,に,かける,ted
スペクトル,が,見付かる,ted
生命,が,存在する,ted
ロボット,が,行う,ted
作業,を,行う,ted
役割,を,伴う,ted
手,に,入るです,ted
真下,に,配置する,ted
色彩,を,配置する,ted
等,が,死ぬまで,ted
タトゥー,を,入れる,ted
自然,に,ある,ted
木,を,守る,ted
原爆,が,落ちる,ted
実際,に,話す,ted
総長,に,委ねる,ted
氷期,に,住む,ted
動物,が,住む,ted
今,と,似る,ted
私,が,遣る,ted
こと,で,知る,ted
人々,に,知る,ted
私達,が,知る,ted
こと,を,感じる,ted
意識,を,考えさせる,ted
物語,を,語る,ted
高校,を,受ける,ted
蛙,を,持ち込む,ted
環境,に,持ち込む,ted
イメージ,を,取り込み,ted
運動場,に,取り込み,ted
植物,で,覆う,ted
イメージ,と,接触出来る,ted
ドル,に,なる,ted
方法,で,表す,ted
データ,を,表す,ted
上,に,表す,ted
全て,が,ある,ted
上,に,ある,ted
こと,が,分かる,ted
機会,に,見つけ出す,ted
質問,に,見つけ出す,ted
答え,を,見つけ出す,ted
そこ,で,打ち勝つ,ted
重力,が,打ち勝つ,ted
想像力,を,掻き立てる,ted
世界,を,切り開く,ted
此れ,が,知る,ted
年前半,に,可決される,ted
達,に,供給する,ted
支援,を,供給する,ted
案,が,可決される,ted
者,が,掛かる,ted
車,と,言う,ted
人,に,払う,ted
注意,を,払う,ted
必要,が,ある,ted
理念,に,基づく,ted
森,を,守る,ted
示唆,に,富む,ted
カフェ,で,食事する,ted
電車,で,帰る,ted
達,に,投げる,ted
手榴弾,を,投げる,ted
ミッション,を,計画する,ted
こと,に,適用される,ted
子供達,が,シェアする,ted
机,を,シェアする,ted
分野,で,働く,ted
季節,が,ある,ted
ルワンダ,に,行く,ted
力,を,再確認する,ted
自信,を,持つ,ted
何,が,ある,ted
自宅,で,しない,ted
リハビリ,を,しない,ted
こと,に,上る,ted
%,に,上る,ted
気,が,付く,ted
会話,を,交わす,ted
中,で,持ち始める,ted
野望,に,持ち始める,ted
疑問,を,持ち始める,ted
種,を,まく,ted
パレスチナ,が,ある,ted
状態,に,ある,ted
解決法,が,なる,ted
効率,を,高める,ted
必要,が,ある,ted
こと,が,見いだされる,ted
此れ,を,示す,ted
例,が,ある,ted
食べ物,を,探す,ted
上,を,歩く,ted
白熊,を,見る,ted
物,が,見られる,ted
判断,を,迫られてる,ted
道,に,行っちゃう,ted
海豚,が,誘う,ted
人間,を,誘う,ted
ゲーム,に,誘う,ted
最初,に,沈む,ted
鰭,に,引っ掛ける,ted
体,を,揺する,ted
海藻,を,落とし,ted
海底,に,落とし,ted
私達,に,取る,ted
此れ,が,取りっこ,ted
方,が,喜ぶです,ted
下,を,泳ぐ,ted
鮫,に,喜ぶです,ted
拡散,が,向かう,ted
サイト,を,禁止する,ted
職場,で,禁止する,ted
結果,を,お話しする,ted
動向,を,理解したい,ted
最後,に,教える,ted
限界,が,ある,ted
こと,を,証明する,ted
私達,が,起こす,ted
変革,を,起こす,ted
動物,が,空ける,ted
法律,に,空ける,ted
穴,を,空ける,ted
側,に,行く,ted
必要,が,ある,ted
穴,を,通す,ted
活動,を,始める,ted
福音,を,理解する,ted
形,に,しない,ted
インタビュー,を,する,ted
コンパクター,が,決まる,ted
椅子,を,回す,ted
髪の毛,を,伸ばす,ted
利用,を,増やす,ted
量,を,増やす,ted
最大限,に,機能する,ted
便,を,してる,ted
口,に,してる,ted
そこ,で,起こる,ted
実際,に,起こる,ted
何,が,起こる,ted
運動,が,拡大する,ted
粘土,に,つける,ted
動き,を,つける,ted
コロンボ,で,会う,ted
言葉,を,する,ted
引用,を,する,ted
内,で,横断し広がる,ted
北部,を,横断し広がる,ted
世,に,現存する,ted
頭,に,なる,ted
意味,を,取り戻す,ted
此れ,から,なる,ted
一員,に,なる,ted
立場,に,なるか,ted
写真,を,撮る,ted
仕事,を,する,ted
賃金,が,上がる,ted
状態,に,ある,ted
ダンス,を,演じる,ted
鳥,が,飛行する,ted
影響,を,受ける,ted
トンネル,を,通じる,ted
言語障害,を,持つ,ted
コンピューター,を,駆使する,ted
コミュニケーション,を,はかる,ted
限り,が,ある,ted
達,が,使う,ted
声,を,使う,ted
声,で,我慢する,ted
現状,を,変えたい,ted
為,に,生み出す,ted
声,を,生み出す,ted
部分,が,解かれる,ted
移行,が,行く,ted
間,に,作られる,ted
都市,を,結ぶ,ted
ケーブル,で,伝える,ted
速さ,で,伝える,ted
信号,を,伝える,ted
世界,に,入る,ted
銀行,に,ある,ted
蓄え,が,ある,ted
家族,を,連れる,ted
英国,に,逃げる,ted
ロングアイランド,へ,続く,ted
情報,を,図示するだけ,ted
指,で,辿る,ted
発電,で,まかない得る,ted
数字,が,出る,ted
毎,に,出る,ted
さん,に,知る,ted
想像力,を,働かせる,ted
こと,が,ある,ted
蜜蜂,を,見る,ted
目,を,変える,ted
歳,に,なる,ted
其れ,が,分かる,ted
友人,で,いる,ted
教授,が,いる,ted
教授,を,遣る,ted
深み,を,見詰める,ted
時間,を,費やす,ted
浅み,を,探求する,ted
こと,に,費やすべし,ted
時間,を,費やすべし,ted
中,に,ある,ted
問題,に,付く,ted
気,が,付く,ted
相手,を,非難する,ted
問題,が,ある,ted
運動,に,於く,ted
鍵,と,なる,ted
システム,で,処理されるべし,ted
恥,を,入れる,ted
シャーレ,に,入れる,ted
共感,に,浸す,ted
行動,を,止める,ted
引き換え,に,手放す,ted
未来,を,憂慮する,ted
作家,が,いる,ted
以上,に,描く,ted
此れ,を,描く,ted
プランナー,を,開発する,ted
記録,に,８センチ足りない,ted
幅跳び,に,申し込む,ted
評論家,に,なる,ted
目的,に,特化する,ted
一緒,に,する,ted
仕事,を,する,ted
実態,を,考えず,ted
とも,が,間違う,ted
こと,を,否定し得る,ted
母,が,描く,ted
遺伝子,が,現れる,ted
此処,に,現れる,ted
私,を,育てる,ted
物,を,使う,ted
動物,が,利用出来る,ted
何,を,見る,ted
正当性,を,証明出来る,ted
衝突事故,を,調べる,ted
差異,が,ある,ted
家,を,捜索する,ted
陰,に,隠れる,ted
暮らし,を,変える,ted
ネットワーク,が,構築する,ted
コネクション,を,構築する,ted
評価,を,得る,ted
助け,を,する,ted
影響,を,与える,ted
進行役,に,たずねる,ted
全員,が,答えるです,ted
インタビュー,に,立ち会う,ted
責任,が,ある,ted
余剰,を,利用する,ted
本当,に,なる,ted
実験,を,する,ted
目,に,する,ted
時,が,至る,ted
ビデオ,を,作らない,ted
其れ,で,聞かれる,ted
達,が,言う,ted
Twitter,に,捉えられる,ted
生活,を,捉えられる,ted
上,に,築かれる,ted
tedxboston,で,進む,ted
レイヤー,と,なる,ted
構築,が,進む,ted
行動,に,影響する,ted
商業,を,変える,ted
発展,を,助ける,ted
写真,を,使う,ted
凸凹,を,再現する,ted
担当者,に,伝える,ted
世界中,で,崩壊する,ted
国,から,逃れられず,ted
人,が,いる,ted
等,を,救う,ted
差,を,なくす,ted
計画,を,示す,ted
全部,が,間違う,ted
政治,が,腐敗する,ted
世界,に,飢える,ted
人々,が,いる,ted
人殺し,が,ある,ted
達,と,いる,ted
一緒,に,いる,ted
寄生虫,を,持つ,ted
人間,と,違う,ted
匂い,を,持つ,ted
犬,を,訓練する,ted
寄生虫,を,持つ,ted
人間,を,嗅ぎ分ける,ted
私達,が,培う,ted
私達,が,語る,ted
恐怖,を,コントロールする,ted
皆,に,影響する,ted
公共財,と,見なされる,ted
内戦,を,抑制する,ted
鍵,と,なる,ted
要素,が,存在する,ted
スクリーン,を,踊り回る,ted
印,を,加える,ted
建物,に,加える,ted
私,を,支える,ted
メール,に,反応する,ted
アンモニア,が,飛び散る,ted
案,に,つられる,ted
解決策,を,見逃す,ted
傾向,が,ある,ted
実例,を,交える,ted
等,が,見付ける,ted
前,に,つぶさない,ted
指,で,つぶさない,ted
大きさ,に,なる,ted
私達,が,扱う,ted
データ,に,比べる,ted
機器,で,扱う,ted
方法,が,とられる,ted
＂,と,呼ぶ,ted
中,で,実験する,ted
足,を,滑らせる,ted
者,が,いない,ted
足,を,滑らせる,ted
者,が,いない,ted
命,を,落とす,ted
命,を,落とす,ted
政界,を,批評する,ted
闇,を,糾弾する,ted
世代,が,芽生えさせる,ted
意識,を,芽生えさせる,ted
方法,を,探さない,ted
アイデア,を,実現する,ted
テレビ,で,出来る,ted
こと,に,ある,ted
関心,が,ある,ted
此処,に,ある,ted
ヒント,が,ある,ted
海面,に,横たわる,ted
視点,で,過大評価する,ted
技術,を,過大評価する,ted
パン,を,取る,ted
空き缶,を,潰す,ted
何千,と,いる,ted
深海,に,行かない,ted
探検,に,値する,ted
其れ,が,対抗出来る,ted
戦略,に,対抗出来る,ted
一人,で,書く,ted
人間,が,なる,ted
複数,に,なる,ted
ファイル,を,上書きする,ted
二人,が,上書きする,ted
互い,に,上書きする,ted
命令,を,送る,ted
コンピューター,を,立ち往生させる,ted
数,が,増えるほど,ted
洞窟,で,充満する,ted
硫酸,が,充満する,ted
一部,に,説明する,ted
重力,を,説明する,ted
歪み,が,示される,ted
中,に,見出す,ted
色,と,並べる,ted
人,に,使う,ted
ツール,を,使う,ted
作り,に,携わる,ted
共,に,携わる,ted
自分,を,見る,ted
こと,が,予測される,ted
水準,に,応じる,ted
本当,に,関連づける,ted
静寂,を,関連づける,ted
病院,を,体験する,ted
頭脳,が,挑む,ted
私,が,言う,ted
嘘,を,言う,ted
こと,を,言う,ted
私,を,するぞ,ted
攻め,に,するぞ,ted
エガーズ,が,言う,ted
花,に,行く,ted
蜜,を,吸う,ted
森,と,起こる,ted
環境,に,起こる,ted
異変,に,付く,ted
気,が,付く,ted
生活様式,を,学び始める,ted
下,に,預けられる,ted
博物館,に,ある,ted
化石,を,収集する,ted
トーク,で,話される,ted
紙,で,発表される,ted
切っ掛け,で,直面し更に,ted
問題,に,直面し更に,ted
食料,が,腐る,ted
事,を,出す,ted
明るみ,に,出す,ted
物,から,遠ざける,ted
概念,に,発する,ted
端,を,発する,ted
条件,で,描かれる,ted
青色,で,描かれる,ted
中央,に,ある,ted
中,に,入る,ted
遺伝子,に,結合する,ted
品物,を,集める,ted
棚,から,集める,ted
トラック,に,乗せる,ted
家庭,に,届ける,ted
中心,を,掛かる,ted
発展,を,遂げる,ted
恩恵,を,享受する,ted
ドナルドソン,が,紹介する,ted
装具,を,紹介する,ted
大腿,を,失う,ted
達,が,使用する,ted
技術,が,盛り込まれる,ted
義肢,と,比べる,ted
ホロビッツ,が,弾かない,ted
曲,を,聴きたい,ted
背中,に,取り付ける,ted
者,を,説得する,ted
ドル,を,渡す,ted
タグ,を,取り付ける,ted
権利,が,ある,ted
結果,に,なる,ted
私,が,読む,ted
速度,で,再生する,ted
文化,が,生まれる,ted
話,を,したい,ted
国,に,向かう,ted
前線,に,いる,ted
私達,が,戦う,ted
問題,が,交差する,ted
子供達,を,救う,ted
男性,が,磨く,ted
腕,を,磨く,ted
前,で,嵌まる,ted
料理,に,嵌まる,ted
腹,を,する,ted
此処,に,立つ,ted
実際,に,求める,ted
引き上げ,を,求める,ted
度胸,を,得る,ted
ビジョン,を,持つ,ted
リーダーシップ,が,求められる,ted
物,が,検出される,ted
の,が,受け持つ,ted
授業,を,取り上げる,ted
即興,で,作る,ted
システム,が,用意出来る,ted
事前,に,用意出来る,ted
ロボット,が,なる,ted
疑問,を,抱える,ted
農場,に,殺す,ted
殺虫剤,を,殺す,ted
鳥,を,殺す,ted
生物,を,殺す,ted
私達,を,思い返すです,ted
専門家,が,通す,ted
目,を,通す,ted
こと,を,指す,ted
そこ,に,住む,ted
手作り,で,ある,ted
箇所,に,ある,ted
こと,が,ある,ted
私,が,聞く,ted
苦境,を,聞く,ted
娘,が,売られる,ted
宿,に,売られる,ted
此れ,に,覚える,ted
憤り,を,覚える,ted
影響力,を,分散させる,ted
市民,に,分散させる,ted
問題,を,解決するです,ted
振幅,が,なり過ぎる,ted
圧力,に,作用する,ted
波,が,生成される,ted
伝送速度,が,変わる,ted
此処,で,終わらせる,ted
違い,が,分からない,ted
盾,に,刻まれる,ted
シンボル,と,変わる,ted
自身,が,止まる,ted
地域,が,呼ばれる,ted
谷,が,走る,ted
東西,に,走る,ted
シェフェラ,を,通る,ted
平野,から,出られる,ted
山脈,に,出られる,ted
ジャスティン,を,破滅させる,ted
ジャスティン,を,破滅させる,ted
形,で,破滅させる,ted
私,が,信じる,ted
ルール,を,守る,ted
こと,で,決まる,ted
さん,に,お話ししたい,ted
医療,が,取る,ted
意見,を,支持する,ted
観点,から,上回る,ted
リスク,を,上回る,ted
写真,で,見る,ted
此処,で,驚くべし,ted
此れ,で,終わる,ted
話,を,終わる,ted
パターン,を,見通す,ted
部品,で,構成される,ted
パターン,が,好まれる,ted
行動,を,変える,ted
変化,が,進歩,ted
